VALUEID,VALUENAME,TYPE_ID,TYPENAME,GOODFLAG
1,有关销售订单库存收货,4,入汇,1
2,寄售库存的收货,1,入汇,1
3,采购订单的收货,1,入汇,1
4,采购订单的收货冲销,1,入汇,1
5,采购订单退回收货,1,入汇,1
6,退货采购订单的退货,1,入汇,1
7,退货采购订单的退货冲销,1,入汇,1
8,成品库采购入库,1,入汇,1
9,成品库采购入库-冲销,1,入汇,1
10,成品库研发样品入库,1,入汇,1
11,成品库研发样品入库-冲销,1,入汇,1
12,成品库返修出库,1,入汇,1
13,成品库返修入库,1,入汇,1
14,TF库存地到库存地,1,入汇,1
15,TR库存地到库存地,1,入汇,1
16,GD交货销售订单,4,出汇,1
17,GD发货:,交货,1,出汇,1,,
18,RE交货冲销,1,出汇,1
19,自有库存调拨至在途,1,调出,1
20,成品库接受直营办退货,1,出汇,1
21,成品库接受直营办退货-冲销,1,出汇,1
22,成品库损坏赔偿出库,1,出汇,1
23,成品库损坏赔偿出库-冲销,1,出汇,1
24,成品库报废出库,1,出汇,1
25,成品库报废出库-冲销,1,出汇,1
26,成品库销售至羊马展厅出库,1,出汇,1
27,成品库销售至羊马展厅出库-冲销,1,出汇,1
28,部门（跨公司）领料,1,出汇,1
29,部门（跨公司）领料-冲销/退料,1,出汇,1
30,销售公司工厂调拨至样品展厅,1,出汇,1
31,销售公司工厂调拨至样品展厅-冲销,1,出汇,1
32,销售公司跨工厂调拨,1,出汇,1
33,销售公司跨工厂调拨-冲销,1,出汇,1
34,不良品库调拨专用,1,出汇,1
35,不良品库调拨专用-冲销,1,出汇,1
36,在途调拨至自有库存,4,调入,1
39,成品库本地调拨（一步）,2,调不良品,2
40,成品库本地调拨（一步）-冲销,2,调不良品,2
45,实际盘点:,仓库-增加,3,盘点,1,,
46,实际盘点:,仓库-减少,3,盘点,1,,
51,GD交货冲销,1,出汇,1
52,部门（公司内）领料,1,出汇,1
53,部门（公司内）领料-冲销/退料,1,出汇,1
54,退货采购订单的退货-冲销,1,入汇,1
55,GD,退货,非限制,1,调不良品,1,
56,TP,从销售定到本公司,4,忽略,1,,
58,GD交货销售订单冲销,4,异型,1
59,OEM完工下线收货,4,忽略,1
60,OEM完工下线收货-冲销,4,忽略,1
61,GD,退货,非限制,冲销,1,出汇,1
62,传送销售订单到本公司,1,入汇,1
